70.900000000000005684  17
61.90380096435546875 36.604900360107421875 60.935901641845703125   65.429485776423661036 39.216157158175377617 60.325987211231243634   69.085194804669711743 41.569973419905991818 59.475721840549411468   72.769192282369942859 43.853499419633067191 58.559714549467962286   76.407588104436825915 46.231450923358970329 57.71246038636745368   80.585839917302564572 46.828282084894325976 56.713445275296898274   84.421487462183705475 44.779060830612039013 56.146204299350806366   87.923436147541423225 42.112091415253779303 55.790192432394881905   91.865550672189684178 41.549679216938606885 54.219564182502232086   93.948419355475706993 44.483226067381792745 51.972305153828848745   92.546182144612060938 48.439531567616199936 51.100942161819602916   88.896957419477558915 50.557268730223135833 52.089330499393298624   84.919736587048817 50.322142222234703013 53.957856476260438683   81.428909717646604349 48.598125320294272456 56.030834631318349182   78.818311532405019193 45.732719018276362988 58.136265279019184504   77.473936229267550857 42.030056553065080038 60.108142649076107489   77.529683583103292221 37.939345969707929385 61.781202336899013972   61.90380096435546875 36.604900360107421875 60.935901641845703125   77.529683583103292221 37.93934596970793649 61.781202336899006866   0.77797826760918942224 0.61950643338072441946 -0.10469763191065351027   0.12546174938947135535 -0.93012319877793625533 0.34515240769149019284   
62.303802490234375 35.90489959716796875 61.73590087890625   63.891620546630477406 40.036825629267490001 61.756063923567921847   64.024342770662585167 44.424163902792059844 61.90301880224851061   62.222329394799764657 48.435934154063225776 62.075689336259102902   59.554639804319144503 51.971691675093154572 62.09798552939129479   57.139153190519280656 55.658217371927356965 62.414300803619234159   55.703376328467783196 59.549529563751903538 63.886261394483788933   55.358070574349753201 63.101738833966336983 66.488456481876184512   55.872460850537862598 66.108080581019223132 69.684139799636454882   57.283131771326175397 68.369880622185334573 73.206224608319729441   59.501784094541910974 69.769610623883338008 76.761803136324076036   62.3778797893621757 70.240876053219921005 80.080868593102849218   65.788098951052774055 69.563859496083409795 82.79088030634730444   69.392375207234323398 67.637017804199544457 84.429202247747269894   72.699952444393517226 64.739743257212779781 84.779174193211318311   75.489101005674228873 61.369533005272110415 84.124791022915687222   77.903253007042707168 57.849195736215030195 82.940184576477221867   62.303802490234375 35.90489959716796875 61.73590087890625   77.903253007042692957 57.8491957362150373 82.940184576477221867   0.42804564828480889949 0.90375569051493476191 -0.0016046327656515668204   0.51940815408760054872 -0.80049876776927497701 -0.29902657451668746003   
62.303802490234375 35.90489959716796875 61.73590087890625   64.03556917142856264 39.97909542183214171 61.777474679462791585   64.238070468138303681 44.358434049776171548 61.807211241176872818   62.24908210276161924 48.269026512638696147 62.015733864658258767   59.533465839823172416 51.732050088937384658 62.525286491348637696   56.822733548225329514 55.105311992154732081 63.388450519628165125   54.860694883357517426 58.143875327986322077 65.895679550380066303   54.008858515279001722 60.933730981114308634 69.22056260875986311   53.940364868626424766 63.571724448706426358 72.772881226039999092   54.652385966370140125 65.987519538440764677 76.410822867879730325   56.119126089048947392 68.043507867089218166 80.043487202174077311   58.374106097075284083 69.480951755807481618 83.558811746745803362   61.55237527952314025 69.636899852274012801 86.586617026201636804   65.163114975832087339 67.996053140804022519 88.465491641690761071   68.415163633074755012 65.082939712310732716 89.095498939952037176   71.132084505633855542 61.595788584467086935 88.894276145219791374   73.50581366714996534 57.905459262345530647 88.282289545360171701   62.303802490234375 35.90489959716796875 61.73590087890625   73.50581366714996534 57.905459262345516436 88.282289545360171701   0.45414366999948091452 0.89088856723952858374 0.0084313558400963117129   0.51335030636610035071 -0.84266183459977006542 -0.16245767283443543483   
62.303802490234375 35.90489959716796875 61.73590087890625   64.062914104016101646 39.889263057977025539 60.965092520034588119   64.04306005870456886 44.250854687419469258 60.922593312122060638   61.736879230714336586 47.908801334578910769 61.639657852317739639   58.463072851614917624 50.770293193637158424 62.477878425079040881   55.48305728556842098 53.874799025611494585 63.496029501031657105   53.367056089205966884 57.435299348674512032 65.043564080836162589   51.991945659338405505 61.118946360341873003 67.074579332863066838   51.253096212172494006 64.719539261647796025 69.538998285866966853   51.204339095942003723 68.025211542521446972 72.475775714773831737   51.928582024395232963 70.753230707903639995 75.875388004472640091   53.532445103050143587 72.520651558580311757 79.582980823940346227   56.080874280947639932 72.83414039335255552 83.152888322039373747   59.25882312927097928 71.560425873999506052 85.91621408227682366   62.548543711195634387 69.100750847648257036 87.522352942078555316   65.613442768316033948 65.958457266791256757 88.041208699245174785   68.397016677077772329 62.520298821538268896 87.830626335514295988   62.303802490234375 35.90489959716796875 61.73590087890625   68.397016677077772329 62.520298821538268896 87.830626335514310199   0.47840104599322719192 0.85315376542671028659 -0.20799300885080895807   0.60449513067591054138 -0.79064862063908170065 -0.097264565339244671294   
62.303802490234375 35.90489959716796875 61.73590087890625   63.873756863921478555 40.033403354476085667 61.914644859634826446   63.988299782848194752 44.423913816104388275 62.201735616795289729   62.459945836099521443 48.541685096422014567 62.579015860908697277   59.863803300675733965 52.11246742784386754 62.877168994189581497   57.093647035764469422 55.556792651269908845 63.163487333782171618   54.697139038866765759 59.146845086995710972 64.113499813346550127   52.72380463670805284 62.54574983544871003 66.131853533699370473   51.144889045174075193 65.422429782625926009 69.092102622055563188   50.159885293003377171 67.392228447270952074 72.907122542164316314   49.795052520027553555 67.854203036370108748 77.273555096801430864   49.660357958089129227 68.198879023008018407 81.679368128344250977   50.635540717343751282 69.831736637086237351 85.636168418493568311   53.018062791155209368 72.127240209948013216 88.545763560858134156   56.32863389770650997 74.406063056123400656 90.371265495695581649   60.249665615290979304 76.328217489546446473 90.955447743235367852   64.391026030915980982 77.654505152280165703 90.185423031210987688   62.303802490234375 35.90489959716796875 61.73590087890625   64.391026030915980982 77.654505152280151492 90.185423031210973477   0.46296711917673677439 0.88577761115761066701 0.032549502808949540289   0.92576236041550585831 0.23260425128428166563 -0.29809279481797018585   
62.303802490234375 35.90489959716796875 61.73590087890625   63.961694983839230133 39.992832943241566568 61.979065528376210636   64.050231915053231546 44.381042639093074342 62.248944779472886069   62.416517695817269384 48.46782499005532685 62.483427806973828922   59.806162924339851372 52.041891038228179411 62.587369993437135918   57.151904946950615738 55.586112845408813143 62.714429590998769015   54.877095585784637422 59.35509491968089435 63.185609583833524994   52.953697843638266818 63.24415546727610149 64.078682385942400401   51.22576258584471276 67.140470761994919258 65.286474077273851435   49.713682067396675279 70.948094719909605033 66.962785443990071599   48.524675162612595614 74.456862527030196475 69.377230329785945173   47.78953109086451434 77.377857977642463538 72.609188476286703917   47.673891307075095369 79.451434512611768923 76.505030711496928575   48.409471514258264335 80.437655746903203635 80.737461608961510251   50.193863873452748692 80.153995510968471194 84.753049618925729192   52.863777569405911549 78.767560438934779654 87.97892278374015973   55.983839066945009222 76.747657590691119367 90.383225737268446665   62.303802490234375 35.90489959716796875 61.73590087890625   55.983839066945016327 76.747657590691119367 90.383225737268446665   0.4938886301222039088 0.86807846268105481879 0.050137846636143887369   0.72652341816824750342 -0.49249388189672649307 0.47918002790957275883   
61.90380096435546875 36.804897308349609375 61.23590087890625   63.826106569839993199 40.504520015025093471 62.6394824377035917   63.469571441278851864 44.407261052765747422 64.555651742522186964   61.13845345166340195 47.624002615769320812 66.464975785244391204   58.281248277146296743 50.514357000060158498 68.229685985346804955   55.714565767583600575 53.482779038289820051 70.279280293557022219   53.553550944207550799 56.427098899290719203 72.786132935501626662   51.53712198171946568 59.292629714532054663 75.498065528319571627   49.742616861670882145 61.783913414454644908 78.673076343274232158   48.366260159017777198 62.999667449286278043 82.66831494240881284   47.183537885614562413 62.986614434093141313 86.933312519871535073   46.224038603186066609 63.488480777690824652 91.211199292586854881   46.270767003777265813 65.485260294981856077 95.126243510324172803   47.543423434632138935 68.315379647372338923 98.262292247204854334   49.780708819393105102 71.30970009737072246 100.61840432564127923   52.859742173704333368 74.129458615785694064 102.03608630074887742   56.574074095872468604 76.507114345598182581 102.3295038844937892   61.90380096435546875 36.804897308349609375 61.23590087890625   56.574074095872468604 76.507114345598182581 102.3295038844937892   0.60936170634619446496 0.75245084739193779377 0.24999206607012322556   0.87464847323762495712 0.48327856057885482111 -0.037840205442377969347   
61.903800964355461645 36.804897308349609375 61.23590087890625   63.930172698710350687 40.253525140350667755 63.047383772124220513   63.264391660629271996 43.607142650390798622 65.694280484621799587   60.51376818871017349 45.849695713323107782 68.306871408726195227   57.493732724982926641 47.840957704776904791 70.864081684654294691   54.89888103313541734 49.985031539064848971 73.742078362987982132   52.572474879887934662 52.157992462077054086 76.824300293537447715   50.314855369883460412 54.326528983651712679 79.960495039523564742   48.213274920117555666 56.468900217471549752 83.219351760401323759   46.380072449364845966 58.557218363851426091 86.669776615993384894   44.792955638568592747 60.59725292469541813 90.268172477100080187   43.589264093740787587 62.569822169941367918 94.045318168716988794   43.198084499198849073 64.366238083981770046 98.064076469336711739   44.052090588039305885 65.734431688526001381 102.17093228002966043   46.227333582004114021 66.368812072104176991 105.94090915830648214   49.742443178832182582 65.778825913180938301 108.44483385162334343   53.752602455940341031 64.030100428113541966 108.94992409309024595   61.903800964355461645 36.804897308349609375 61.23590087890625   53.752602455940355242 64.030100428113541966 108.94992409309024595   0.64544585274731791635 0.6998901510375656887 0.30586504810439074653   0.8839422709570553538 -0.4637354141605586344 -0.05996271565413810456   
62.303802490234375 36.0048980712890625 61.93590164184571023   63.664263963981987615 39.348831650267172222 64.457577970957615321   62.416452949331741706 42.4133705350798067 67.252852097654951535   59.375363416229369307 44.537613096230089127 69.649267843993641236   56.122552254270068772 46.483435706732187498 71.943136506095811455   53.199133490377413125 48.534261519464656942 74.562775182657119899   50.549648852600519433 50.594094589932069539 77.455749655820966382   47.991588760759753995 52.638242749830006062 80.441228104927077425   45.502579906192302417 54.659602399831257458 83.499591538572019545   43.162795150604608807 56.619621444693663648 86.710715606754931173   41.052706230195930459 58.485866339467818875 90.129903166575090268   39.306382313866215839 60.236694730581788804 93.802734792201150071   38.358337606142903553 61.832628251882574943 97.813813876644175593   38.651769730874008246 63.319235657126817785 101.95933134280330989   40.43190470980979967 64.787984052912037214 105.69979540304001375   43.912937541689409215 66.168305237143428599 107.92810021991303415   48.193107550746304923 67.194077494519362403 107.95842782899383394   62.303802490234375 36.0048980712890625 61.93590164184571023   48.193107550746304923 67.194077494519348193 107.95842782899383394   0.48110717313079270907 0.71020242984988424251 0.51395369110204658369   0.96486289262274649303 0.18655153420236680883 -0.18503546559081712752   
61.90380096435546875 36.804897308349609375 61.435901641845703125   63.252329168301990592 39.799919404101082421 64.361788852663011085   61.917718048097121653 42.565710242569743116 67.416162960608062349   58.815403024057516745 44.515306609718720665 69.883693640527184243   55.545354267341117804 46.334039066145258801 72.255587545732652188   52.600566478020240879 48.280396980455570599 74.931984873926836599   49.806890770287715497 50.265821892846247465 77.74073878242397484   47.018244708057991943 52.251907812443008083 80.554057446741950343   44.286808365047008351 54.240057197234804676 83.421308581688933259   41.649975890104236953 56.226150240891179521 86.377174753000687701   39.092215193001095486 58.206348613396869496 89.405661795099561573   36.678944440311269659 60.167407164178058565 92.561351899275436494   34.660481219925365792 62.04742713322156078 96.023840600867458761   33.336533995803364405 63.710323394541653386 99.901374870773722137   33.107018157376266743 64.871333538001096031 104.14184090206849476   34.806592750545682691 64.809729486226530071 108.12658370640890837   38.232775098605429775 63.241279057874685066 110.3482147258881696   61.90380096435546875 36.804897308349609375 61.435901641845703125   38.232775098605429775 63.241279057874685066 110.3482147258881696   0.49379717446977844375 0.63029142355918532648 0.59908018818301556063   0.84846981831274070895 -0.46035555912099440645 0.26109715930806742801   
61.703800201416015625 36.804897308349609375 61.23590087890625   63.249455440066810752 40.534232968727351931 62.981581547320502068   62.402217805448962906 44.354254126789591339 64.898497485758426251   59.486769204069751993 47.186728700186414187 66.576874303835225533   55.90112530930940693 49.324448345306983299 68.058397676258834963   52.44148734132764389 51.571054996979086127 69.668453034650781319   49.377581894365668802 54.091458644172007553 71.638566808900449701   46.498478677795198166 56.701227315370026361 73.767975059777100455   43.71943725367111 59.351827627381311459 75.978173653968056556   41.12484566306575573 62.079021518115325762 78.314454934321474866   38.940843145720549501 64.982605106803205786 80.845436301285204195   37.172333993997980883 67.975025132195625588 83.591657100132948699   35.745109112144831442 71.082515236855201124 86.37467935784201245   37.18727895864331856 74.356085177743693748 86.748284340533075465   36.889207342406677981 73.123988201676098697 82.650220967413019935   38.174789407097541982 71.104619536405550662 78.998200295998941556   40.69955484130802148 68.55727001617391636 76.399314808039903824   61.703800201416015625 36.804897308349609375 61.23590087890625   40.69955484130802148 68.557270016173958993 76.399314808039903824   0.53782577601818881696 0.76702633858601465544 0.34987716496760018492   0.5939528476068959284 -0.58663497021925459229 -0.55052649939445752469   
