78.900000000000005684  17
58.87969970703125 33.330898284912109375 60.631397247314453125   63.536284352565417066 33.653672028568060171 62.052050092739719389   68.319716281936607061 33.149611330574906276 61.132877231524197725   72.813712300296657531 32.363851361826739605 59.263806101271029547   77.234838338174597538 31.542007977814648712 57.240510611226490312   81.529022912089700981 30.680712668035404533 54.97771145199131837   85.512191374427487744 29.779032106942352698 52.221552219529662864   89.060795354790187162 28.87639094238884141 48.923357887087291829   92.272935657213139393 27.996830532595463836 45.288128131643922814   95.24173552637097373 27.146137621080793423 41.444612580091906295   98.048446224359224743 26.319459812294088152 37.475298544651231225   100.86155484223240819 25.492505094761892082 33.510546756680135161   103.74798441782304792 24.658467025772644377 29.600359268320794115   106.66782377201643328 23.822573098719409757 25.715391101338070712   109.60025983195835408 22.986518497455204368 21.839948702649905954   112.61794131980219902 22.154272324601159028 18.030686072792892816   116.03431774277491684 21.35086919650888504 14.571204191898164737   58.87969970703125 33.330898284912109375 60.631397247314453125   116.03431774277491684 21.35086919650888504 14.571204191898178948   0.85844737792615377625 0.14196474558223098894 0.49286317608793200895   0.73604589170733958348 -0.15866685579867439992 -0.65807391239260504268   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.910022957874105032 31.63100201099761577 65.622779119176598783   57.455279305451583127 29.739392381464799797 69.885439892737139189   54.527503893316961125 27.244033711771926676 72.936857784682317174   51.064568550409660475 24.585058871909758693 75.227071689606120231   47.633568404443344946 21.936538905610134975 77.575720773334282399   44.566201689605669856 19.408683930935119122 80.481898625597324326   42.269645621805032931 17.159119213026965411 84.200398693491905533   41.213865132215111942 15.292370059542101046 88.615935749549421985   41.782608261003673533 13.850458474370190842 93.270333192768475783   43.910679966551484199 12.839169692397028655 97.577158943368871746   47.228831304939753011 12.294468697638285093 101.1649119760364357   51.317510762856016981 12.216496887492764856 103.8931274715152   55.967640958029051035 12.77534626699368836 105.35530826814536454   60.681745867894719026 14.09422335082501121 105.15982710322205662   64.782859793276344362 16.028987869154743606 103.28927594547585045   68.110652235417404654 18.229494408213323453 100.40154296333183481   58.779697418212890625 32.730899810791015625 60.83139801025390625   68.110652235417404654 18.229494408213323453 100.4015429633318206   0.12019257186545745375 -0.17020742033108710034 0.97805070407039929048   0.62163862021595395202 0.45581207364842607488 -0.6370249440738775526   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.838510047402536429 31.998575779561008403 65.690857786250475669   57.116198532984014946 30.724896589296729843 70.083946926587799453   53.851981583914067642 29.169377777679653008 73.409441583039665602   49.986573688054306785 27.5871308061902063 76.028544156132156218   46.126940336378481788 26.010965435327548789 78.659932909885085905   42.700609894124525567 24.504747636296599467 81.855985403951351032   40.228365661304785306 23.186102096221492985 85.892423439793304851   39.078034680844019988 22.062382904147952445 90.533753756598088103   39.518375882772133423 21.074069858254070198 95.31791036875448242   41.708888431044947254 20.233506269424616164 99.623741969564676424   45.223618645785990111 19.593857982129680551 102.99534857543969224   49.560511510193556717 19.282060922269391057 105.28864093855801798   54.357016657329651821 19.519643486324099513 106.30458965999903853   59.115422069313780185 20.531162833338516549 105.71603480109290274   63.191395173780328776 22.260011781878006332 103.59850212777190848   66.481286893307597552 24.362598104338978544 100.59566331942095019   58.779697418212890625 32.730899810791015625 60.83139801025390625   66.481286893307597552 24.36259810433898565 100.59566331942092177   0.12657186267439596294 -0.10811413859455513975 0.9860481208415192711   0.61416107108265061143 0.44319688251867378481 -0.65297986346620240372   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.892209251309509455 32.136955425261547248 65.710416294863406961   57.230978038684796161 31.278387162359457818 70.23290430401370088   54.133513581807001458 30.202527833833631377 73.897650447477502667   50.491019560289039703 29.036657531635491125 77.009355785057948651   46.957382474598254873 27.875299602635553953 80.241761522445770538   44.279967978926201511 26.743615869068566582 84.197666788219720502   43.408766698747022872 25.641380348496177533 88.880691091450387376   44.711956269447227896 24.551092634643001844 93.467667986972628569   47.820697366311264886 23.515514537442967935 97.109570613450600263   52.087614704143668121 22.701698277534049453 99.394104402835210976   56.884862005308093558 22.253705554616946216 100.37794548086876034   61.793977002603625692 22.343106364793300145 100.19321727437598213   66.373795044153240497 23.349564622868552277 98.745818981507397893   70.181854260478303331 25.360471205013112694 96.379279225303363887   73.166827744300235281 28.077142483212778501 93.557732456664467691   75.684463571769683199 31.100588310033597139 90.586363290514881896   58.779697418212890625 32.730899810791015625 60.83139801025390625   75.684463571769654777 31.100588310033600692 90.586363290514867685   0.13425346402996865547 -0.10123504113605534538 0.98576238203845811814   0.48852933261083647531 0.62588541901922589705 -0.60795273947728756259   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.954843085407745207 32.301651012296531462 65.727752906760159135   57.511052607566668371 31.435504173450386389 70.327264069279038949   54.699160884022681728 30.201490728180822032 74.171137515887650693   51.464243172854864383 28.869111221649813359 77.646182408355358007   48.606666526920591309 27.520117701905430607 81.421600523581574294   47.04829829572173594 26.015609876358162467 85.813710038235853972   47.872978822782698671 24.15340349049127866 90.233081896845249048   50.96253130584290858 22.057140497332852647 93.372369766387478762   55.258401371230014831 20.085452367533559226 94.65307901879960184   59.902616079030359231 18.567551184188324953 94.202693872717532031   64.390589865120190893 17.764951430237157837 92.37167129710913116   68.420581265573048313 17.836060293179659908 89.559108997415222575   71.718089315532637329 19.023569293980894912 86.117227747832444607   74.188826252563529806 21.271431119102349072 82.506321852827710472   75.995200865316846262 24.22096733235234467 78.997526281520691782   77.452091888190864211 27.484841830290960729 75.601218276054993339   58.779697418212890625 32.730899810791015625 60.83139801025390625   77.452091888190878421 27.484841830290957176 75.601218276054993339   0.1381367771000915623 -0.05768453870016954782 0.98873187710690724206   0.27727629506936962711 0.67694333863689348796 -0.68181051067561282419   
58.779697418212890625 32.730899810791015625 60.83139801025390625   59.085713574733873088 32.122946024968911161 65.705473949209064699   57.925108469880278506 30.933586148693024143 70.313630044368238714   55.401027855998933092 29.31775308752418141 74.215383688278905083   52.396820522253946706 27.648718842131195572 77.751527416106711144   49.786895318399899679 25.881652949261429342 81.5324440850883434   48.555581328343642156 23.732236173384524847 85.760142828136125104   49.32607416940334133 21.063149239273062818 89.783320800030153919   51.916195703378051007 18.062516581261682802 92.648325061343726361   55.666138750065414342 15.148395068689968213 93.858491952462173913   59.929401877552756162 12.747090197083803531 93.472828150675780989   64.245745957924626168 11.082390118187174011 91.811194044447717033   68.344904956165251519 10.308033207483855875 89.208810765531140419   72.005282367251922437 10.568625759250023677 85.935429076625752032   75.109067808570841862 11.768414378746889781 82.307833305150779779   77.734032754446786839 13.607687210931109334 78.564215229822721653   80.110739904539755685 15.734725488430624907 74.803813950780835285   58.779697418212890625 32.730899810791015625 60.83139801025390625   80.110739904539755685 15.734725488430637341 74.803813950780821074   0.1444329367750800952 -0.087859947268145152655 0.98560628875863232068   0.47051481556327484634 0.44385000317327755193 -0.76263555058660825736   
58.779697418212890625 32.730899810791015625 60.83139801025390625   59.087955343110600381 32.31023892275126741 65.725116661785875749   57.971282691212010718 31.18688987441404592 70.360371273091672606   55.540832651826306687 29.544265785348279962 74.310371118352804842   52.656944586711269096 27.806280995277560919 77.912922068770470219   50.190282232873578039 25.995950008402076037 81.77001777845480035   49.03756903919499166 23.877161763744069845 86.038365639701410714   49.849785450059215464 21.225602816938810236 90.06308488136025403   52.442549037047406557 18.146089148430075255 92.838415896434028696   56.056870971323569108 15.022477266657203288 93.960348060215139299   60.070197196639284698 12.215303497953456713 93.594451160567828651   64.180745676758704121 10.132366371090281376 91.892071588913879054   68.146280959496280616 9.0101752197707121184 89.210927485873824594   71.741929180079381467 8.9235597496463867628 85.856901706009466579   74.802029875053648311 9.7954282383314001947 82.102135747251253406   77.350014053578831863 11.360261974366661519 78.185623875855398524   79.600367821425038528 13.267285771253730431 74.234655888549312408   58.779697418212890625 32.730899810791015625 60.83139801025390625   79.600367821425052739 13.267285771253721549 74.234655888549298197   0.14065834599475293687 -0.044098833298612777343 0.98907558993421806903   0.44034617587666963212 0.40388311255623327023 -0.80185639411473319527   
58.779697418212890625 32.730899810791015625 60.83139801025390625   59.166561337357819639 32.21721666086607172 65.713058756029440133   58.196994498217961223 31.465731540121826271 70.464048964800142016   55.927966560343428171 30.58355360463975714 74.742232008309514413   53.194524706734490849 29.710467139432452655 78.752443029130546392   50.857382200175607068 28.728437562020744167 82.973072452613095606   49.817406119973369982 27.335666426773492788 87.558260610361259069   50.594911058983129237 25.297987315754262738 91.941310909710722399   52.99298958135305071 22.614006713666455539 95.257022369320949906   56.410208233336639694 19.518154970473489129 96.919763336825170086   60.171826483343252789 16.357817925243232082 96.954374416299430095   63.883034865617872811 13.3635004583897814 95.741389002303932898   67.404179490158753651 10.77785945463942241 93.480049009549432526   70.581159802635013989 8.8927363728768593631 90.236029851101989152   73.197755391612844278 7.9102023322534593675 86.190969040685004643   75.145877549361330239 7.787981412790104585 81.672545005214175262   76.578989814110968837 8.2370118245899153209 76.978007609639206521   58.779697418212890625 32.730899810791015625 60.83139801025390625   76.578989814110954626 8.2370118245899135445 76.978007609639206521   0.15495400043604140583 -0.088641772044128291919 0.98393693598611497997   0.25909273607397587114 0.12377984037973205345 -0.95788804420415929464   
58.679698944091796875 33.5308990478515625 60.931400299072265625   59.595812032462944785 32.656460808941275786 65.693977016948778669   59.716906213035450435 31.286150014651795459 70.417520969238523776   58.987051967571190403 29.450283410416059127 74.931120721887651825   58.061270128861430351 27.524048833916967993 79.374601378650567085   57.70293992951108919 25.605016211148424077 83.894935688417206165   58.756671186553887765 23.509232781712352534 88.195583756502230699   61.620201043938664043 21.048607021926628136 91.289755544447146463   65.580813461041586265 18.410269082598631485 92.432454518790379439   69.790617756574860664 15.981784151175354225 91.755295850336239027   73.774629383759574353 14.116956997344932034 89.571934527498996204   77.289749916812013453 12.984344120875316975 86.323374292229914317   80.216723106243662755 12.620115532067977426 82.386954168248678343   82.426139046173162228 13.078611822487879124 78.014215825444125585   83.928474391555042189 14.247927437390648819 73.472843403867202028   84.866055556557782324 15.913014186776988979 68.9299567308146095   85.501205795711811675 17.819407078670373323 64.427135068957696262   58.679698944091796875 33.5308990478515625 60.931400299072265625   85.501205795711811675 17.819407078670373323 64.427135068957682051   0.22694098898647838136 -0.14979116459703539777 0.96232031804722018009   0.11462192303981402763 0.39744218366598116354 -0.91044029205734933186   
58.779697418212890625 32.730899810791015625 60.83139801025390625   60.219820713234206266 32.441048185471331067 65.538355249254721002   61.618115942868278978 31.86152875490444103 70.230429877799096516   62.997856962461298735 31.155018988395902113 74.911625332253933607   64.405054332785198312 30.403378115769442047 79.576447451542435374   66.164703708100532253 29.042751527891955021 83.964136977045441768   68.775466226897577826 26.91268077064504638 87.535719664353649705   72.387185338482211705 24.508547630768564574 89.819198913437105602   76.888931505276858047 22.683398750090447038 90.254644551434353161   81.47106024902168997 22.170508283739053468 88.638341089664791639   85.286097272342374254 22.885326324221399119 85.632616539056201077   88.310828207452019001 24.269476526871162747 82.001399932989684771   90.749907631216956361 25.976323572195404665 78.074457302332490372   92.630601341538721272 27.904290431240784898 73.947360942968003883   93.994812989175471785 29.991473437954009995 69.695552171558716736   94.907490373919159765 32.189993835543354805 65.378592229247288969   95.502681508215530926 34.45357644202857017 61.03865726758075283   58.779697418212890625 32.730899810791015625 60.83139801025390625   95.502681508215545136 34.45357644202857017 61.038657267580745724   0.29514230057123336248 -0.039599411364322073537 0.95463234233558158515   0.10149639367401105949 0.46256313008276989107 -0.88075753346718566039   
58.779697418212890625 32.730899810791015625 60.83139801025390625   60.384136689152832389 33.040405485613099756 65.482418745360774892   62.341263554089771048 33.157851118881687569 70.006214184386635679   64.441823493546905866 33.197605164027699232 74.467419860442987556   66.724466158949425676 33.174667188510738924 78.837104762525072488   69.519435047944284634 33.07942398730426703 82.890894322044175624   73.256835297663471351 33.069988685220195634 86.06621624689660166   77.934366462069874615 33.567210408133497879 87.353541642150858593   82.508924303072475936 34.868268724201250564 86.258077785701061657   86.102362961887905612 36.741403735446084511 83.487978903552544807   88.737228364733425678 38.825315168916461062 79.889077649354973687   90.65327398843456308 40.959766000786494544 75.883319370157110484   91.957987286586458708 43.114742748744752987 71.647507317083025669   92.67723199781846688 45.388015201322360781 67.335060554433439961   92.833488612868222845 47.841511283193518977 63.06286410564978695   92.731955584704209627 50.380415206258632566 58.836749264478811483   92.930492401319867213 52.828287225653895121 54.562525805649180199   58.779697418212890625 32.730899810791015625 60.83139801025390625   92.930492401319853002 52.828287225653888015 54.562525805649187305   0.29039392193226121197 0.081340738080602173476 0.95344378671912410894   0.083164580143963939829 0.48273010768239704715 -0.87181150241690408276   
